# harness	expected_satisfied_covers
accessibility::activation_revision_and_target_identity_are_preserved	2
accessibility::verification::checked_utf16_range_end_never_wraps	2
input_epoch_verification::checked_epoch_boundaries_never_wrap_or_alias	2
proofs::accepted_frame_accounting_is_atomic_and_balanced	4
proofs::adjacent_horizontal_rectangles_merge_without_loss	2
proofs::bounded_intersections_remain_inside_both_inputs	2
proofs::bounded_sizes_preserve_constructor_contract	2
proofs::bounded_trace_preserves_operation_order_and_values	2
proofs::bounded_trace_rejects_noncontiguous_index	2
proofs::byte_colors_always_normalize_to_valid_channels	2
proofs::frame_slot_actions_preserve_bounded_unique_ownership	3
proofs::lifecycle_actions_preserve_invariants	4
proofs::presentation_actions_preserve_invariants_and_atomicity	5
proofs::power_of_two_probe_never_escapes_the_index	2
proofs::readback_capacity_stays_bounded_at_maximum_row	2
proofs::readback_rows_stay_aligned_and_bounded	2
proofs::selection_transform_stays_at_or_after_replacement_start	4
